Transaction Date,Sales Quantity,Price,Discounts,Inventory Level,Economic Indicator,Holiday,Competitor Price,Market Trend,Product SKU_Levis,Product SKU_Wrangler,Store ID_Store1,Store ID_Store2,Product Category_Shirts,Product Category_Jeans,Weather Condition_Rainy,Weather Condition_Snowy,Weather Condition_Sunny
11/7/1996,79,466.39,5,81,0.78,1,159.86,0.85,0,0,1,0,0,1,0,0,0
11/8/1996,86,344.83,15,252,1.19,0,41.7,1.11,1,0,0,1,0,1,1,0,0
11/9/1996,80,138.61,0,322,1.15,1,463.8,0.88,0,0,0,1,0,1,1,0,0
11/10/1996,81,326.07,20,223,0.7,1,399.38,0.82,0,0,1,0,0,0,0,0,1
11/11/1996,81,425.8,10,358,1.19,0,492.08,1.16,0,1,0,1,0,0,0,0,1
11/12/1996,79,206.8,5,287,0.79,0,443.7,0.93,0,1,0,0,1,0,0,0,0
11/13/1996,78,416.68,15,405,0.7,0,242.91,1,1,0,0,0,0,1,0,0,1
11/14/1996,83,85.66,15,437,1.25,0,442.47,0.84,0,1,1,0,1,0,0,1,0
11/15/1996,84,413.16,5,159,0.86,1,339.49,0.99,0,0,1,0,1,0,1,0,0
11/16/1996,84,274.74,15,461,1.07,0,267.05,0.89,0,0,0,1,0,0,0,0,0
11/17/1996,88,119.26,20,120,0.7,1,191.62,1.14,0,1,1,0,0,0,1,0,0
11/18/1996,85,209.5,15,193,1.11,0,343.67,1.09,0,1,0,0,1,0,0,0,1
11/19/1996,79,494.12,0,255,0.71,1,299.17,1.07,0,0,0,0,1,0,1,0,0
11/20/1996,75,393.94,10,406,0.67,0,310.95,1.11,1,0,0,1,1,0,1,0,0
11/21/1996,73,291.79,20,472,0.89,1,205.92,0.92,0,1,0,0,0,0,0,0,1
11/22/1996,61,66.43,5,290,1.29,0,372.26,0.98,1,0,1,0,1,0,1,0,0
11/23/1996,70,214.73,10,140,0.68,1,49.86,0.83,1,0,0,1,0,0,0,0,0
11/24/1996,73,138.9,20,207,0.62,0,365.82,0.83,0,1,0,1,0,1,0,1,0
11/25/1996,75,44.79,10,256,0.53,1,368.07,0.93,0,0,0,1,0,1,1,0,0
11/26/1996,69,275.68,15,106,0.92,0,262.81,1.13,1,0,1,0,1,0,0,0,0
11/27/1996,76,445.7,5,105,0.78,0,139.01,1.04,0,1,0,1,0,0,0,1,0
11/28/1996,73,341.04,5,216,0.79,0,264.45,0.97,1,0,0,1,0,1,0,0,0
11/29/1996,72,132.34,0,176,1.48,0,70.31,1.19,0,0,0,0,0,0,0,0,0
11/30/1996,72,291.06,15,475,0.69,1,149.72,0.98,0,0,0,0,0,0,0,1,0
12/1/1996,79,472.18,0,67,0.96,1,216.44,0.99,0,0,0,1,0,1,0,0,1
12/2/1996,78,364.23,0,124,1.49,0,339.88,1.2,0,0,1,0,1,0,0,0,0
12/3/1996,75,347.84,15,327,0.53,0,101.74,0.85,0,0,1,0,1,0,0,0,1
12/4/1996,80,484.4,20,437,1.2,1,87.5,0.9,1,0,1,0,0,1,0,0,1
12/5/1996,81,401.45,0,308,0.87,0,307.82,0.98,0,0,1,0,0,0,1,0,0
12/6/1996,82,76.95,10,494,1.41,1,342.98,1.03,0,0,0,0,1,0,0,0,1
12/7/1996,83,180.34,20,73,1.41,1,50.99,0.86,0,0,1,0,0,0,0,0,0
12/8/1996,84,482.92,15,357,0.89,0,26.25,0.93,0,1,1,0,0,1,0,0,0
12/9/1996,84,249.96,5,116,0.72,0,82.1,0.89,0,1,0,1,1,0,0,1,0
12/10/1996,85,64.7,20,172,0.93,1,451.5,1.14,1,0,1,0,1,0,0,0,1
12/11/1996,84,234.72,0,336,1.47,1,339.59,1.13,0,0,1,0,1,0,0,1,0
12/12/1996,81,351.53,10,102,0.78,1,461.3,0.9,0,1,1,0,0,1,0,0,0
12/13/1996,82,498.8,15,494,1.48,1,335.71,0.97,0,0,1,0,0,1,0,1,0
12/14/1996,80,168.71,5,170,1.32,1,482.97,1.06,0,1,0,0,0,1,1,0,0
12/15/1996,79,261.9,10,235,0.77,0,225.06,0.82,0,1,0,1,0,0,0,1,0
12/16/1996,78,441.04,5,468,1.29,1,303.56,1.15,1,0,0,0,0,0,1,0,0
12/17/1996,81,184.08,15,336,0.55,0,304.58,1,0,0,0,1,0,0,1,0,0
12/18/1996,80,63.54,20,490,1.05,1,11.54,0.89,0,0,0,1,1,0,0,0,1
12/19/1996,80,474.98,0,293,0.86,1,23.45,0.96,0,0,0,1,1,0,0,0,0
12/20/1996,77,249.34,15,125,0.93,0,81.18,1.16,1,0,0,1,1,0,1,0,0
12/21/1996,76,256.36,10,443,0.97,0,260.45,0.81,0,0,0,0,0,1,0,0,0
12/22/1996,72,314.39,20,133,1,1,220.96,0.86,0,0,0,1,0,1,0,1,0
12/23/1996,67,11.73,5,451,1.16,1,274.48,0.88,0,1,1,0,1,0,0,1,0
12/24/1996,69,466.25,20,413,1.2,1,402.24,0.82,0,1,1,0,0,1,0,1,0
12/25/1996,73,187.11,20,361,1.48,0,412.9,0.89,0,0,0,1,0,0,0,1,0
12/26/1996,69,204.5,10,341,1.26,0,488.74,1.13,0,0,1,0,0,0,0,1,0
12/27/1996,69,95.31,0,356,1.19,1,283.2,1.01,0,0,1,0,0,1,0,0,1
12/28/1996,76,195.29,20,494,0.89,1,180.14,1.04,0,0,0,1,0,0,0,0,1
12/29/1996,75,403.93,20,196,0.62,1,160.93,0.86,0,0,0,1,0,0,1,0,0
12/30/1996,72,402,0,386,0.56,0,176.96,0.91,1,0,0,1,0,0,0,0,0
12/31/1996,71,468.54,0,409,0.98,0,168.68,1.17,0,1,0,0,1,0,0,1,0
1/1/1997,79,207.58,5,430,1.17,1,202.53,0.88,1,0,0,1,0,1,0,0,0
